campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
camp_0001,83,17,11,0.133,3,2,0.024,0,0
camp_0002,118,46,32,0.271,14,10,0.085,2,5
camp_0003,84,40,28,0.333,10,7,0.083,1,1
camp_0004,61,27,18,0.295,8,6,0.098,0,5
camp_0005,34,18,12,0.353,2,1,0.029,0,4
camp_0006,43,15,10,0.233,5,3,0.07,1,1
camp_0007,110,47,32,0.291,12,9,0.082,3,5
camp_0008,80,38,26,0.325,11,8,0.1,0,0
camp_0009,31,7,4,0.129,2,1,0.032,2,5
camp_0010,88,35,24,0.273,10,7,0.08,0,1
camp_0011,68,17,11,0.162,2,1,0.015,3,0
camp_0012,36,9,6,0.167,5,3,0.083,2,4
camp_0013,61,26,18,0.295,6,4,0.066,2,3
camp_0014,110,35,24,0.218,16,12,0.109,0,3
camp_0015,108,46,32,0.296,16,12,0.111,2,5
camp_0016,88,28,19,0.216,8,6,0.068,3,3
camp_0017,81,42,29,0.358,12,9,0.111,3,5
camp_0018,100,51,35,0.35,15,11,0.11,1,2
camp_0019,119,54,37,0.311,12,9,0.076,2,5
camp_0020,120,37,25,0.208,10,7,0.058,1,1
camp_0021,36,7,4,0.111,2,1,0.028,1,2
camp_0022,126,59,41,0.325,11,8,0.063,2,3
camp_0023,35,7,4,0.114,5,3,0.086,3,3
camp_0024,89,17,11,0.124,4,3,0.034,0,2
