water_id,date,cups,notes
1,2026-07-01,9,
2,2026-07-01,10,
3,2026-07-01,5,
4,2026-07-01,5,
5,2026-07-01,6,
6,2026-07-01,9,
7,2026-07-01,8,
8,2026-07-01,8,
9,2026-07-01,7,
10,2026-07-01,6,
11,2026-07-01,6,
12,2026-07-01,9,
13,2026-07-01,8,
14,2026-07-01,9,
15,2026-07-01,4,
16,2026-07-01,4,
17,2026-07-01,4,
18,2026-07-01,5,
19,2026-07-01,7,
20,2026-07-01,4,
21,2026-07-01,4,
22,2026-07-01,7,
23,2026-07-01,8,
24,2026-07-01,6,
25,2026-07-01,4,
26,2026-07-01,7,
27,2026-07-01,8,
28,2026-07-01,6,
29,2026-07-01,8,
30,2026-07-01,4,
31,2026-07-01,9,
32,2026-07-01,8,
33,2026-07-01,6,
34,2026-07-01,5,
35,2026-07-01,7,
36,2026-07-01,7,
37,2026-07-01,7,
38,2026-07-01,7,
39,2026-07-01,7,
40,2026-07-01,7,
41,2026-07-01,4,
42,2026-07-01,8,
43,2026-07-01,9,
44,2026-07-01,8,
45,2026-07-01,9,
46,2026-07-01,4,
47,2026-07-01,5,
48,2026-07-01,5,
49,2026-07-01,7,
50,2026-07-01,5,
51,2026-07-01,6,
52,2026-07-01,7,
53,2026-07-01,6,
54,2026-07-01,10,
55,2026-07-01,4,
56,2026-07-01,9,
57,2026-07-01,4,
58,2026-07-01,6,
59,2026-07-01,5,
60,2026-07-01,6,
61,2026-07-01,10,
62,2026-07-01,7,
63,2026-07-01,8,
64,2026-07-01,7,
65,2026-07-01,7,
66,2026-07-01,9,
67,2026-07-01,7,
68,2026-07-01,10,
69,2026-07-01,8,
70,2026-07-01,4,
71,2026-07-01,8,
72,2026-07-01,4,
73,2026-07-01,9,
74,2026-07-01,5,
75,2026-07-01,8,
76,2026-07-01,5,
77,2026-07-01,4,
78,2026-07-01,5,
79,2026-07-01,6,
80,2026-07-01,4,
81,2026-07-01,4,
82,2026-07-01,10,
83,2026-07-01,7,
84,2026-07-01,7,
85,2026-07-01,9,
86,2026-07-01,10,
87,2026-07-01,4,
88,2026-07-01,7,
89,2026-07-01,10,
90,2026-07-01,7,
