Date	Organization	Amount	Method	Rail	Cadence	Tax_deductible
2025-10-01	Sacramento Community Food Alliance	75.00	Card	Card on file	Monthly recurring	Yes
2025-10-01	Valley Public Radio	50.00	Recurring	Card on file	Monthly recurring	Yes
2025-10-01	Open Knowledge Foundation	25.00	QuickPay	Card on file	Monthly recurring	Yes
2025-10-01	Digital Rights Foundation	25.00	Card	Card on file	Monthly recurring	Yes
2025-10-01	Friends of the Sacramento City Library	25.00	Card	Card on file	Monthly recurring	Yes
2025-11-01	Sacramento Community Food Alliance	75.00	Card	Card on file	Monthly recurring	Yes
2025-11-01	Valley Public Radio	50.00	Recurring	Card on file	Monthly recurring	Yes
2025-11-01	Open Knowledge Foundation	25.00	QuickPay	Card on file	Monthly recurring	Yes
2025-11-01	Digital Rights Foundation	25.00	Card	Card on file	Monthly recurring	Yes
2025-11-01	Friends of the Sacramento City Library	25.00	Card	Card on file	Monthly recurring	Yes
2025-12-01	Sacramento Community Food Alliance	75.00	Card	PayPal	Monthly recurring	Yes
2025-12-01	Valley Public Radio	50.00	Recurring	PayPal	Monthly recurring	Yes
2025-12-01	Open Knowledge Foundation	25.00	QuickPay	PayPal	Monthly recurring	Yes
2025-12-01	Digital Rights Foundation	25.00	Card	PayPal	Monthly recurring	Yes
2025-12-01	Friends of the Sacramento City Library	25.00	Card	PayPal	Monthly recurring	Yes
2026-01-01	Sacramento Community Food Alliance	75.00	Card	PayPal	Monthly recurring	Yes
2026-01-01	Valley Public Radio	50.00	Recurring	PayPal	Monthly recurring	Yes
2026-01-01	Open Knowledge Foundation	25.00	QuickPay	PayPal	Monthly recurring	Yes
2026-01-01	Digital Rights Foundation	25.00	Card	PayPal	Monthly recurring	Yes
2026-01-01	Friends of the Sacramento City Library	25.00	Card	PayPal	Monthly recurring	Yes
2026-02-01	Sacramento Community Food Alliance	75.00	Card	PayPal	Monthly recurring	Yes
2026-02-01	Valley Public Radio	50.00	Recurring	PayPal	Monthly recurring	Yes
2026-02-01	Open Knowledge Foundation	25.00	QuickPay	PayPal	Monthly recurring	Yes
2026-02-01	Digital Rights Foundation	25.00	Card	PayPal	Monthly recurring	Yes
2026-02-01	Friends of the Sacramento City Library	25.00	Card	PayPal	Monthly recurring	Yes
2026-03-01	Sacramento Community Food Alliance	75.00	Card	PayPal	Monthly recurring	Yes
2026-03-01	Valley Public Radio	50.00	Recurring	PayPal	Monthly recurring	Yes
2026-03-01	Open Knowledge Foundation	25.00	QuickPay	PayPal	Monthly recurring	Yes
2026-03-01	Digital Rights Foundation	25.00	Card	PayPal	Monthly recurring	Yes
2026-03-01	Friends of the Sacramento City Library	25.00	Card	PayPal	Monthly recurring	Yes
