Week,Date,Day,FaceoffPT,Opponent,HomeAway,Rink,Result,PersonalStats
W1,2026-10-15,Thu,21:00,Beaver Dam Devils,Home,Rink B,L 2-4,1 assist
W2,2026-10-22,Thu,21:00,Pearl District Sharks,Away,Rink A,W 5-3,"1 goal, 1 assist"
W3,2026-10-29,Thu,21:00,Cascade Loggers,Home,Rink B,L 3-5,
W4,2026-11-05,Thu,21:00,PDX Bruins,Away,Rink A,W 4-2,2 assists
W5,2026-11-12,Thu,21:00,Beaverton Blades,Home,Rink B,W 3-1,1 goal
W6,2026-11-19,Thu,21:00,SE Portland Storm,Away,Rink A,L 2-6,
W7,2026-11-26,Thu,OFF,US Thanksgiving,-,-,NO GAME,Thanksgiving hosting
W8,2026-12-03,Thu,21:00,Sellwood Salmon,Home,Rink B,TBD,
W9,2026-12-10,Thu,21:00,Cascade Loggers,Away,Rink A,TBD,"Catering conflict, likely miss"
W10,2026-12-17,Thu,21:00,PDX Bruins,Home,Rink B,TBD,
W11,2026-12-24,Thu,OFF,Christmas Eve,-,-,NO GAME,Reveillon prep
W12,2026-12-31,Thu,OFF,New Year's Eve,-,-,NO GAME,
W13,2027-01-07,Thu,21:00,Beaver Dam Devils,Away,Rink A,TBD,
W14,2027-01-14,Thu,21:00,Pearl District Sharks,Home,Rink B,TBD,
W15,2027-01-21,Thu,21:00,Beaverton Blades,Away,Rink A,TBD,
W16,2027-01-28,Thu,21:00,SE Portland Storm,Home,Rink B,TBD,
