id,order_id,customer_id,amount,currency,status,source_type,location_id,receipt_number,created_at
sq_pmt_00001,ORD_00001,CUST_CDN_002,1620,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000001,2026-10-03T10:00:00-08:00
sq_pmt_00002,ORD_00002,CUST_CDN_003,1983,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000002,2026-10-03T11:07:00-08:00
sq_pmt_00003,ORD_00003,CUST_CDN_004,2347,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000003,2026-10-03T12:14:00-08:00
sq_pmt_00004,ORD_00004,CUST_CDN_005,2711,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000004,2026-10-03T10:21:00-08:00
sq_pmt_00005,ORD_00005,CUST_CDN_006,3075,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000005,2026-10-03T11:28:00-08:00
sq_pmt_00006,ORD_00006,CUST_CDN_007,3439,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000006,2026-10-03T12:35:00-08:00
sq_pmt_00007,ORD_00007,CUST_CDN_008,3803,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000007,2026-10-03T10:42:00-08:00
sq_pmt_00008,ORD_00008,CUST_CDN_009,4167,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000008,2026-10-03T11:49:00-08:00
sq_pmt_00009,ORD_00009,CUST_CDN_010,4531,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000009,2026-10-03T12:56:00-08:00
sq_pmt_00010,ORD_00010,CUST_CDN_011,4895,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000010,2026-10-03T10:03:00-08:00
sq_pmt_00011,ORD_00011,CUST_CDN_012,5259,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000011,2026-10-03T11:10:00-08:00
sq_pmt_00012,ORD_00012,CUST_CDN_013,5623,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000012,2026-10-03T12:17:00-08:00
sq_pmt_00013,ORD_00013,CUST_CDN_014,1883,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000013,2026-10-03T10:24:00-08:00
sq_pmt_00014,ORD_00014,CUST_CDN_015,2247,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000014,2026-10-03T11:31:00-08:00
sq_pmt_00015,ORD_00015,CUST_CDN_016,1620,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000015,2026-10-17T10:00:00-08:00
sq_pmt_00016,ORD_00016,CUST_CDN_017,1983,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000016,2026-10-17T11:07:00-08:00
sq_pmt_00017,ORD_00017,CUST_CDN_018,2347,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000017,2026-10-17T12:14:00-08:00
sq_pmt_00018,ORD_00018,CUST_CDN_019,2711,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000018,2026-10-17T10:21:00-08:00
sq_pmt_00019,ORD_00019,CUST_CDN_020,3075,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000019,2026-10-17T11:28:00-08:00
sq_pmt_00020,ORD_00020,CUST_CDN_021,3439,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000020,2026-10-17T12:35:00-08:00
sq_pmt_00021,ORD_00021,CUST_CDN_022,3803,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000021,2026-10-17T10:42:00-08:00
sq_pmt_00022,ORD_00022,CUST_CDN_001,4167,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000022,2026-10-17T11:49:00-08:00
sq_pmt_00023,ORD_00023,CUST_CDN_002,4531,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000023,2026-10-17T12:56:00-08:00
sq_pmt_00024,ORD_00024,CUST_CDN_003,4895,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000024,2026-10-17T10:03:00-08:00
sq_pmt_00025,ORD_00025,CUST_CDN_004,5259,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000025,2026-10-17T11:10:00-08:00
sq_pmt_00026,ORD_00026,CUST_CDN_005,5623,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000026,2026-10-17T12:17:00-08:00
sq_pmt_00027,ORD_00027,CUST_CDN_006,1883,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000027,2026-10-17T10:24:00-08:00
sq_pmt_00028,ORD_00028,CUST_CDN_007,2247,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000028,2026-10-17T11:31:00-08:00
sq_pmt_00029,ORD_00029,CUST_CDN_008,2611,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000029,2026-10-17T12:38:00-08:00
sq_pmt_00030,ORD_00030,CUST_CDN_009,1620,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000030,2026-11-07T10:00:00-08:00
sq_pmt_00031,ORD_00031,CUST_CDN_010,1983,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000031,2026-11-07T11:07:00-08:00
sq_pmt_00032,ORD_00032,CUST_CDN_011,2347,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000032,2026-11-07T12:14:00-08:00
sq_pmt_00033,ORD_00033,CUST_CDN_012,2711,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000033,2026-11-07T10:21:00-08:00
sq_pmt_00034,ORD_00034,CUST_CDN_013,3075,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000034,2026-11-07T11:28:00-08:00
sq_pmt_00035,ORD_00035,CUST_CDN_014,3439,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000035,2026-11-07T12:35:00-08:00
sq_pmt_00036,ORD_00036,CUST_CDN_015,3803,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000036,2026-11-07T10:42:00-08:00
sq_pmt_00037,ORD_00037,CUST_CDN_016,4167,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000037,2026-11-07T11:49:00-08:00
sq_pmt_00038,ORD_00038,CUST_CDN_017,4531,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000038,2026-11-07T12:56:00-08:00
sq_pmt_00039,ORD_00039,CUST_CDN_018,4895,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000039,2026-11-07T10:03:00-08:00
sq_pmt_00040,ORD_00040,CUST_CDN_019,5259,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000040,2026-11-07T11:10:00-08:00
sq_pmt_00041,ORD_00041,CUST_CDN_020,5623,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000041,2026-11-07T12:17:00-08:00
sq_pmt_00042,ORD_00042,CUST_CDN_021,1883,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000042,2026-11-07T10:24:00-08:00
sq_pmt_00043,ORD_00043,CUST_CDN_022,1620,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000043,2026-11-21T10:00:00-08:00
sq_pmt_00044,ORD_00044,CUST_CDN_001,1983,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000044,2026-11-21T11:07:00-08:00
sq_pmt_00045,ORD_00045,CUST_CDN_002,2347,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000045,2026-11-21T12:14:00-08:00
sq_pmt_00046,ORD_00046,CUST_CDN_003,2711,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000046,2026-11-21T10:21:00-08:00
sq_pmt_00047,ORD_00047,CUST_CDN_004,3075,USD,COMPLETED,CARD,LOC_CDN_MARKET,RCP-0000047,2026-11-21T11:28:00-08:00
