iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
TVC,Cherry Capital,Traverse City,TVC,United States,US,42.3869,-83.2039,America/Detroit
AZO,Kalamazoo/Battle Creek Intl,Kalamazoo,AZO,United States,US,45.8339,-83.1789,America/Detroit
DTW,Detroit Metro,Detroit,DTW,United States,US,45.2638,-83.3684,America/Detroit
GRR,Gerald R. Ford Intl,Grand Rapids,GRR,United States,US,42.1799,-84.6443,America/Detroit
LAN,Capital Region,Lansing,LAN,United States,US,42.1772,-83.7497,America/Detroit
FNT,Bishop Intl,Flint,FNT,United States,US,44.6871,-84.4538,America/Detroit
MBS,MBS Intl,Saginaw,MBS,United States,US,45.6734,-86.2207,America/Detroit
CIU,Chippewa County Intl,Sault Ste. Marie,CIU,United States,US,42.4737,-86.5183,America/Detroit
MQT,Sawyer Intl,Marquette,MQT,United States,US,44.9854,-86.5009,America/Detroit
PLN,Pellston Regional,Pellston,PLN,United States,US,45.1804,-86.7352,America/Detroit
CMX,Houghton County,Hancock,CMX,United States,US,45.7022,-84.6038,America/Detroit
ESC,Delta County,Escanaba,ESC,United States,US,43.1634,-84.0858,America/Detroit
IMT,Ford,Iron Mountain,IMT,United States,US,42.8968,-83.3307,America/Detroit
APN,Alpena County,Alpena,APN,United States,US,44.5951,-85.9825,America/Detroit
X00,Regional Airport 0,City 0,X00,United States,US,44.9978,-79.6188,America/Detroit
X01,Regional Airport 1,City 1,X01,United States,US,40.1193,-89.2757,America/Detroit
X02,Regional Airport 2,City 2,X02,United States,US,36.6568,-84.0042,America/Detroit
X03,Regional Airport 3,City 3,X03,United States,US,36.1897,-85.0975,America/Detroit
X04,Regional Airport 4,City 4,X04,United States,US,36.4072,-98.9214,America/Detroit
X05,Regional Airport 5,City 5,X05,United States,US,42.4510,-85.0552,America/Detroit
X06,Regional Airport 6,City 6,X06,United States,US,38.9878,-96.6890,America/Detroit
X07,Regional Airport 7,City 7,X07,United States,US,45.6496,-91.0441,America/Detroit
X08,Regional Airport 8,City 8,X08,United States,US,44.8503,-83.4141,America/Detroit
X09,Regional Airport 9,City 9,X09,United States,US,38.7095,-89.4108,America/Detroit
X10,Regional Airport 10,City 10,X10,United States,US,42.5298,-98.2650,America/Detroit
X11,Regional Airport 11,City 11,X11,United States,US,37.8169,-89.7777,America/Detroit
X12,Regional Airport 12,City 12,X12,United States,US,44.3075,-97.3774,America/Detroit
X13,Regional Airport 13,City 13,X13,United States,US,40.6252,-103.4534,America/Detroit
X14,Regional Airport 14,City 14,X14,United States,US,44.2396,-81.1642,America/Detroit
X15,Regional Airport 15,City 15,X15,United States,US,46.7003,-97.7416,America/Detroit
X16,Regional Airport 16,City 16,X16,United States,US,40.4320,-83.8076,America/Detroit
X17,Regional Airport 17,City 17,X17,United States,US,40.6712,-76.0993,America/Detroit
X18,Regional Airport 18,City 18,X18,United States,US,38.0846,-103.1310,America/Detroit
X19,Regional Airport 19,City 19,X19,United States,US,35.4024,-80.8029,America/Detroit
X20,Regional Airport 20,City 20,X20,United States,US,46.4056,-96.9368,America/Detroit
X21,Regional Airport 21,City 21,X21,United States,US,40.1936,-81.3044,America/Detroit
X22,Regional Airport 22,City 22,X22,United States,US,47.2407,-93.0454,America/Detroit
X23,Regional Airport 23,City 23,X23,United States,US,35.1531,-89.6923,America/Detroit
X24,Regional Airport 24,City 24,X24,United States,US,37.4543,-102.5270,America/Detroit
X25,Regional Airport 25,City 25,X25,United States,US,39.1972,-85.8899,America/Detroit
X26,Regional Airport 26,City 26,X26,United States,US,45.0685,-89.2430,America/Detroit
X27,Regional Airport 27,City 27,X27,United States,US,42.6629,-89.8076,America/Detroit
X28,Regional Airport 28,City 28,X28,United States,US,35.8522,-88.8527,America/Detroit
X29,Regional Airport 29,City 29,X29,United States,US,40.4316,-75.8937,America/Detroit
X30,Regional Airport 30,City 30,X30,United States,US,38.2447,-96.5780,America/Detroit
X31,Regional Airport 31,City 31,X31,United States,US,38.3462,-98.3884,America/Detroit
X32,Regional Airport 32,City 32,X32,United States,US,42.0827,-104.4557,America/Detroit
X33,Regional Airport 33,City 33,X33,United States,US,37.3870,-103.2155,America/Detroit
X34,Regional Airport 34,City 34,X34,United States,US,42.9009,-82.3693,America/Detroit
X35,Regional Airport 35,City 35,X35,United States,US,45.6505,-77.5869,America/Detroit
X36,Regional Airport 36,City 36,X36,United States,US,45.1884,-92.8307,America/Detroit
X37,Regional Airport 37,City 37,X37,United States,US,46.3448,-78.2771,America/Detroit
X38,Regional Airport 38,City 38,X38,United States,US,46.4631,-84.5774,America/Detroit
X39,Regional Airport 39,City 39,X39,United States,US,41.0018,-83.9427,America/Detroit
X40,Regional Airport 40,City 40,X40,United States,US,35.4544,-95.2637,America/Detroit
X41,Regional Airport 41,City 41,X41,United States,US,37.6338,-83.7244,America/Detroit
X42,Regional Airport 42,City 42,X42,United States,US,41.3806,-87.8156,America/Detroit
X43,Regional Airport 43,City 43,X43,United States,US,42.9168,-88.9065,America/Detroit
X44,Regional Airport 44,City 44,X44,United States,US,39.4524,-85.9549,America/Detroit
X45,Regional Airport 45,City 45,X45,United States,US,35.4546,-103.9982,America/Detroit
X46,Regional Airport 46,City 46,X46,United States,US,38.5156,-103.1614,America/Detroit
X47,Regional Airport 47,City 47,X47,United States,US,35.1743,-89.6100,America/Detroit
X48,Regional Airport 48,City 48,X48,United States,US,47.3521,-79.9482,America/Detroit
X49,Regional Airport 49,City 49,X49,United States,US,37.9092,-86.5902,America/Detroit
X50,Regional Airport 50,City 50,X50,United States,US,46.3313,-78.7059,America/Detroit
X51,Regional Airport 51,City 51,X51,United States,US,37.4174,-104.5064,America/Detroit
X52,Regional Airport 52,City 52,X52,United States,US,41.2648,-82.8355,America/Detroit
X53,Regional Airport 53,City 53,X53,United States,US,46.8565,-95.1385,America/Detroit
X54,Regional Airport 54,City 54,X54,United States,US,37.8774,-79.8406,America/Detroit
X55,Regional Airport 55,City 55,X55,United States,US,35.4789,-88.6942,America/Detroit
X56,Regional Airport 56,City 56,X56,United States,US,35.1783,-102.7706,America/Detroit
X57,Regional Airport 57,City 57,X57,United States,US,47.0816,-99.4741,America/Detroit
X58,Regional Airport 58,City 58,X58,United States,US,41.8078,-76.0171,America/Detroit
X59,Regional Airport 59,City 59,X59,United States,US,36.9767,-90.2510,America/Detroit
X60,Regional Airport 60,City 60,X60,United States,US,39.2628,-93.6731,America/Detroit
X61,Regional Airport 61,City 61,X61,United States,US,39.4190,-104.8727,America/Detroit
X62,Regional Airport 62,City 62,X62,United States,US,42.9988,-80.5245,America/Detroit
X63,Regional Airport 63,City 63,X63,United States,US,44.7097,-90.8359,America/Detroit
X64,Regional Airport 64,City 64,X64,United States,US,45.7389,-100.5142,America/Detroit
X65,Regional Airport 65,City 65,X65,United States,US,42.7957,-80.3553,America/Detroit
X66,Regional Airport 66,City 66,X66,United States,US,35.7145,-102.7028,America/Detroit
X67,Regional Airport 67,City 67,X67,United States,US,41.1342,-81.4481,America/Detroit
X68,Regional Airport 68,City 68,X68,United States,US,35.7304,-101.9236,America/Detroit
X69,Regional Airport 69,City 69,X69,United States,US,42.0360,-92.6979,America/Detroit
X70,Regional Airport 70,City 70,X70,United States,US,45.2972,-94.1165,America/Detroit
X71,Regional Airport 71,City 71,X71,United States,US,35.0692,-78.4906,America/Detroit
X72,Regional Airport 72,City 72,X72,United States,US,43.6074,-82.2890,America/Detroit
X73,Regional Airport 73,City 73,X73,United States,US,46.3031,-84.6109,America/Detroit
X74,Regional Airport 74,City 74,X74,United States,US,47.4886,-99.2523,America/Detroit
X75,Regional Airport 75,City 75,X75,United States,US,37.8514,-93.9850,America/Detroit
