number,repo,head_branch,base_branch,merged,mergeable,draft,review_state,additions,deletions,changed_files,checks_status
300,nf7-sonar-processing,fix-sonar,main,false,true,false,pending,40,5,2,passing
844,umber-2,violet-2,quartz-2,jade-2,umber-2,meadow-2,420,1001,1001,1001,standard
429,umber-3,river-3,quartz-3,haze-3,orbit-3,kelp-3,207,1002,1002,1002,closed
444,meadow-4,meadow-4,haze-4,haze-4,meadow-4,iris-4,818,1003,1003,1003,general
280,summit-5,harbor-5,coral-5,summit-5,zephyr-5,zephyr-5,190,1004,1004,1004,closed
311,summit-6,grove-6,coral-6,jade-6,coral-6,umber-6,645,1005,1005,1005,closed
707,jade-7,bravo-7,pine-7,willow-7,river-7,umber-7,643,1006,1006,1006,general
700,iris-8,willow-8,ember-8,cedar-8,pine-8,alpha-8,560,1007,1007,1007,active
463,bravo-9,harbor-9,alpha-9,umber-9,tidal-9,umber-9,493,1008,1008,1008,open
302,tidal-10,pine-10,meadow-10,cedar-10,cedar-10,umber-10,614,1009,1009,1009,active
516,willow-11,harbor-11,zephyr-11,umber-11,summit-11,summit-11,23,1010,1010,1010,open
61,grove-12,orbit-12,tidal-12,harbor-12,coral-12,ember-12,317,1011,1011,1011,general
725,grove-13,coral-13,orbit-13,iris-13,umber-13,river-13,789,1012,1012,1012,pending
189,meadow-14,meadow-14,meadow-14,kelp-14,violet-14,quartz-14,171,1013,1013,1013,closed
681,iris-15,ember-15,ember-15,quartz-15,umber-15,iris-15,822,1014,1014,1014,standard
196,delta-16,pine-16,frost-16,zephyr-16,bravo-16,bravo-16,596,1015,1015,1015,pending
851,willow-17,summit-17,grove-17,pine-17,orbit-17,pine-17,793,1016,1016,1016,pending
799,haze-18,harbor-18,kelp-18,frost-18,coral-18,kelp-18,89,1017,1017,1017,closed
856,haze-19,frost-19,delta-19,tidal-19,jade-19,violet-19,552,1018,1018,1018,active
328,grove-20,tidal-20,bravo-20,umber-20,violet-20,pine-20,244,1019,1019,1019,standard
560,pine-21,harbor-21,willow-21,violet-21,haze-21,cedar-21,612,1020,1020,1020,closed
67,harbor-22,kelp-22,willow-22,umber-22,umber-22,pine-22,334,1021,1021,1021,active
828,delta-23,coral-23,violet-23,tidal-23,quartz-23,jade-23,624,1022,1022,1022,standard
849,grove-24,alpha-24,cedar-24,summit-24,bravo-24,jade-24,33,1023,1023,1023,closed
547,iris-25,jade-25,pine-25,kelp-25,kelp-25,ember-25,738,1024,1024,1024,active
524,delta-26,cedar-26,frost-26,tidal-26,meadow-26,haze-26,728,1025,1025,1025,active
842,willow-27,river-27,pine-27,grove-27,zephyr-27,iris-27,800,1026,1026,1026,general
355,frost-28,jade-28,frost-28,quartz-28,iris-28,summit-28,296,1027,1027,1027,general
250,harbor-29,delta-29,grove-29,zephyr-29,ember-29,jade-29,348,1028,1028,1028,pending
24,jade-30,frost-30,willow-30,cedar-30,coral-30,orbit-30,799,1029,1029,1029,general
719,zephyr-31,ember-31,umber-31,frost-31,zephyr-31,zephyr-31,100,1030,1030,1030,active
111,pine-32,kelp-32,delta-32,tidal-32,quartz-32,harbor-32,242,1031,1031,1031,general
528,cedar-33,jade-33,quartz-33,ember-33,coral-33,cedar-33,75,1032,1032,1032,general
6,grove-34,alpha-34,cedar-34,meadow-34,umber-34,coral-34,580,1033,1033,1033,closed
371,harbor-35,haze-35,zephyr-35,umber-35,pine-35,umber-35,308,1034,1034,1034,closed
769,river-36,iris-36,alpha-36,summit-36,quartz-36,summit-36,4,1035,1035,1035,active
410,haze-37,coral-37,coral-37,orbit-37,ember-37,willow-37,62,1036,1036,1036,open
625,kelp-38,tidal-38,meadow-38,orbit-38,frost-38,coral-38,748,1037,1037,1037,pending
260,violet-39,delta-39,river-39,willow-39,orbit-39,iris-39,315,1038,1038,1038,standard
820,umber-40,quartz-40,harbor-40,jade-40,harbor-40,orbit-40,752,1039,1039,1039,closed
72,harbor-41,tidal-41,cedar-41,iris-41,delta-41,quartz-41,330,1040,1040,1040,closed
114,cedar-42,orbit-42,frost-42,river-42,kelp-42,coral-42,65,1041,1041,1041,pending
823,jade-43,summit-43,alpha-43,coral-43,jade-43,ember-43,509,1042,1042,1042,active
538,frost-44,tidal-44,delta-44,bravo-44,frost-44,tidal-44,847,1043,1043,1043,active
633,tidal-45,umber-45,alpha-45,pine-45,pine-45,pine-45,127,1044,1044,1044,pending
569,haze-46,kelp-46,alpha-46,jade-46,harbor-46,harbor-46,228,1045,1045,1045,open
579,alpha-47,pine-47,ember-47,summit-47,alpha-47,harbor-47,363,1046,1046,1046,pending
2000,coral-48,ember-48,violet-48,grove-48,iris-48,river-48,704,1047,1047,1047,open
94,iris-49,umber-49,coral-49,harbor-49,summit-49,quartz-49,134,1048,1048,1048,general
833,summit-50,tidal-50,kelp-50,umber-50,umber-50,alpha-50,852,1049,1049,1049,closed
414,tidal-51,grove-51,tidal-51,willow-51,bravo-51,alpha-51,51,1050,1050,1050,standard
376,cedar-52,pine-52,delta-52,quartz-52,alpha-52,tidal-52,136,1051,1051,1051,general
697,quartz-53,iris-53,cedar-53,kelp-53,ember-53,iris-53,569,1052,1052,1052,open
15,harbor-54,grove-54,cedar-54,summit-54,meadow-54,haze-54,648,1053,1053,1053,open
793,pine-55,frost-55,cedar-55,zephyr-55,tidal-55,pine-55,36,1054,1054,1054,active
809,zephyr-56,summit-56,quartz-56,river-56,zephyr-56,tidal-56,514,1055,1055,1055,pending
338,iris-57,delta-57,delta-57,kelp-57,ember-57,jade-57,623,1056,1056,1056,standard
413,iris-58,harbor-58,kelp-58,iris-58,grove-58,orbit-58,653,1057,1057,1057,general
