Date	Recipient	Amount	Payment Method	Reference Number	Tax Deductible
01/05/2025	Desert Springs Community Church	200.00	Check	CK1042	Yes
01/19/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1043	Yes
01/31/2025	St. Mary's Food Bank Arizona	75.00	Online Transfer	TXF-2025-0131	Yes
02/03/2025	Desert Springs Community Church	200.00	Check	CK1051	Yes
02/16/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1052	Yes
02/28/2025	Clearfield Aeronautical University Scholarship Fund	200.00	Check	CK1053	Yes
03/03/2025	Desert Springs Community Church	200.00	Check	CK1061	Yes
03/16/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1062	Yes
03/31/2025	St. Mary's Food Bank Arizona	75.00	Online Transfer	TXF-2025-0331	Yes
04/07/2025	Desert Springs Community Church	200.00	Check	CK1071	Yes
04/20/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1072	Yes
04/30/2025	Clearfield Aeronautical University Scholarship Fund	200.00	Check	CK1073	Yes
05/05/2025	Desert Springs Community Church	200.00	Check	CK1081	Yes
05/18/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1082	Yes
05/31/2025	St. Mary's Food Bank Arizona	75.00	Online Transfer	TXF-2025-0531	Yes
06/02/2025	Desert Springs Community Church	200.00	Check	CK1091	Yes
06/15/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1092	Yes
06/30/2025	Clearfield Aeronautical University Scholarship Fund	200.00	Check	CK1093	Yes
07/07/2025	Desert Springs Community Church	200.00	Check	CK1101	Yes
07/20/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1102	Yes
07/31/2025	St. Mary's Food Bank Arizona	75.00	Online Transfer	TXF-2025-0731	Yes
08/04/2025	Desert Springs Community Church	200.00	Check	CK1111	Yes
08/17/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1112	Yes
08/31/2025	Clearfield Aeronautical University Scholarship Fund	200.00	Check	CK1113	Yes
09/01/2025	Desert Springs Community Church	200.00	Check	CK1121	Yes
09/14/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1122	Yes
09/28/2025	St. Mary's Food Bank Arizona	75.00	Online Transfer	TXF-2025-0928	Yes
10/06/2025	Desert Springs Community Church	200.00	Check	CK1131	Yes
10/19/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1132	Yes
10/31/2025	Clearfield Aeronautical University Scholarship Fund	200.00	Check	CK1133	Yes
11/03/2025	Desert Springs Community Church	200.00	Check	CK1141	Yes
11/16/2025	Aviation Heritage Museum Foundation	150.00	Check	CK1142	Yes
11/28/2025	St. Mary's Food Bank Arizona	100.00	Online Transfer	TXF-2025-1128	Yes
12/01/2025	Desert Springs Community Church	200.00	Check	CK1151	Yes
12/14/2025	Aviation Heritage Museum Foundation	250.00	Check	CK1152	Yes
12/22/2025	Scottsdale Community Foundation	100.00	Check	CK1153	Yes
12/29/2025	Clearfield Aeronautical University Scholarship Fund	200.00	Check	CK1154	Yes
