Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,AcctNum,Vendor1099
3000,Salazar Tannery,Salazar Tannery,"{""Address"": ""orders@salazar-000.example.com""}","{""FreeFormNumber"": ""+15755558000""}","{""Line1"": ""200 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",0,true,V00001,true
3001,Salazar Leather Supply,Salazar Leather Supply,"{""Address"": ""orders@salazar-001.example.com""}","{""FreeFormNumber"": ""+15755558001""}","{""Line1"": ""201 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",89,true,V00002,false
3002,Salazar Hardware,Salazar Hardware,"{""Address"": ""orders@salazar-002.example.com""}","{""FreeFormNumber"": ""+15755558002""}","{""Line1"": ""202 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",178,true,V00003,false
3003,Salazar Buckle Co,Salazar Buckle Co,"{""Address"": ""orders@salazar-003.example.com""}","{""FreeFormNumber"": ""+15755558003""}","{""Line1"": ""203 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",267,true,V00004,false
3004,Salazar Dyes & Finishes,Salazar Dyes & Finishes,"{""Address"": ""orders@salazar-004.example.com""}","{""FreeFormNumber"": ""+15755558004""}","{""Line1"": ""204 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",356,true,V00005,false
3005,Salazar Sewing Supplies,Salazar Sewing Supplies,"{""Address"": ""orders@salazar-005.example.com""}","{""FreeFormNumber"": ""+15755558005""}","{""Line1"": ""205 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",445,true,V00006,true
3006,Salazar Craft Wholesale,Salazar Craft Wholesale,"{""Address"": ""orders@salazar-006.example.com""}","{""FreeFormNumber"": ""+15755558006""}","{""Line1"": ""206 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",534,true,V00007,false
3007,Salazar Ranch Supply,Salazar Ranch Supply,"{""Address"": ""orders@salazar-007.example.com""}","{""FreeFormNumber"": ""+15755558007""}","{""Line1"": ""207 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",623,true,V00008,false
3008,Salazar Freight & Shipping,Salazar Freight & Shipping,"{""Address"": ""orders@salazar-008.example.com""}","{""FreeFormNumber"": ""+15755558008""}","{""Line1"": ""208 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",712,true,V00009,false
3009,Salazar Print & Signage,Salazar Print & Signage,"{""Address"": ""orders@salazar-009.example.com""}","{""FreeFormNumber"": ""+15755558009""}","{""Line1"": ""209 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",801,true,V00010,false
