tableId,id,name,type
tblnu9o3nz0p3pmal,flduzkpiebegvjhry,Title,singleLineText
tblnu9o3nz0p3pmal,fld0h50y0b6rh8ibv,Segment,singleSelect
tblnu9o3nz0p3pmal,fld4xz2n9lz69io2g,Outlet,singleLineText
tblnu9o3nz0p3pmal,fldhv3k81ie9dncke,Beat,singleLineText
tblnu9o3nz0p3pmal,fld9w6no3h9tgx99c,Email,email
tblnu9o3nz0p3pmal,fldge98qy7zd297qg,Handle,singleLineText
tblnu9o3nz0p3pmal,fldiu94u08vngy90p,Last Contacted,date
tblnu9o3nz0p3pmal,fldns5300b4ce9bto,Wave,singleSelect
tblnu9o3nz0p3pmal,fldnz5ldl7kad01p4,Status,singleSelect
tblnu9o3nz0p3pmal,fldjxtyephoncllc9,Notes,multilineText
tblnu9o3nz0p3pmal,fldhooa364o98j373,Do Not Contact,checkbox
tblnu9o3nz0p3pmal,fldr58cdcpq69q7uz,Mailing List Crossover,checkbox
tbluslowlwvaxqjfq,flddc3hd1d7graucv,Title,singleLineText
tbluslowlwvaxqjfq,fldi73ziwl0knt3wb,Client,singleLineText
tbluslowlwvaxqjfq,fldn09jc3cbazsj1a,Status,singleSelect
tbluslowlwvaxqjfq,fld4v09idr9ta0emn,Amount USD,currency
tbluslowlwvaxqjfq,fld99twl2nrnf79si,Terms,singleSelect
tbluslowlwvaxqjfq,fldpn5dwvlbstbemd,Due Date,date
tbluslowlwvaxqjfq,fldvo5wo9f4wu522f,Stripe Invoice ID,singleLineText
tbluslowlwvaxqjfq,fld9xo6u4161htvwa,QuickBooks ID,singleLineText
tbluslowlwvaxqjfq,flds5idedvtp4ufia,Notes,multilineText
tbluslowlwvaxqjfq,fldlbt0aerobq2btn,Reply-Only Cadence,checkbox
tblm2d7j2b5oiinyg,fldguiic99hwf7p8k,Title,singleLineText
tblm2d7j2b5oiinyg,fldeez1xlvwjy1gol,Playtester,singleLineText
tblm2d7j2b5oiinyg,fld1t9qiyl586xlc3,Chapter,singleSelect
tblm2d7j2b5oiinyg,flde2t6j90fh08u09,Completion %,percent
tblm2d7j2b5oiinyg,fldf4lfk8ye3pzzro,Duration (min),number
tblm2d7j2b5oiinyg,fldmaqtxjzatt549r,Session #,number
tblm2d7j2b5oiinyg,fldq36mezyo8a3ii7,Build,singleLineText
tblm2d7j2b5oiinyg,fldszd2u7gaf95tz7,Notes,multilineText
tblm2d7j2b5oiinyg,fldilhaa9hb42s9st,Bugs Filed,multilineText
tblm2d7j2b5oiinyg,fldi5k0iiiz5igugy,Follow-up Sent,checkbox
tbl5aqzdb1qsy2hpj,fld0eqcp9db9dspb7,Title,singleLineText
tbl5aqzdb1qsy2hpj,fldh02nburg1h3qnv,Sentry ID,singleLineText
tbl5aqzdb1qsy2hpj,fld2dd8lbjvjmkjv5,Chapter,singleSelect
tbl5aqzdb1qsy2hpj,fldw4xynodxfve1dl,Severity,singleSelect
tbl5aqzdb1qsy2hpj,fldo4fw2s1bc4glq4,Status,singleSelect
tbl5aqzdb1qsy2hpj,fldx5pkialbs82v9j,Reproduces,checkbox
tbl5aqzdb1qsy2hpj,fldsi5t8v3i3m9uqz,First Seen,date
tbl5aqzdb1qsy2hpj,fld909im4t0t0p4c5,Last Seen,date
tbl5aqzdb1qsy2hpj,fldd5scrvobjhufxf,Playtest Link,url
tbl5aqzdb1qsy2hpj,fldcmvti2yaovt2tn,Notes,multilineText
tblxvyiqhogv3ucrl,fld2cq45yclosj46k,Title,singleLineText
tblxvyiqhogv3ucrl,fld85qza1zvaqlg72,SKU,singleLineText
tblxvyiqhogv3ucrl,fld8eop39y0wb1nif,Type,singleSelect
tblxvyiqhogv3ucrl,fldtrs3um70tl0z90,Etsy Price,currency
tblxvyiqhogv3ucrl,fldm8e82iir6zokmv,Square Price,currency
tblxvyiqhogv3ucrl,fld25wss7224k6tto,Amazon Price,currency
