"id","name","close_approach_date","absolute_magnitude_h","est_diameter_min_km","est_diameter_max_km","is_potentially_hazardous","miss_distance_km","relative_velocity_kph","orbiting_body"
"neo_0001","(63220) Echo","2030-04-02","17.86","0.2789","0.9889","false","17933949.0","64169.84","Earth"
"neo_0002","(22552) Stone","2025-04-18","25.81","0.4102","0.1523","false","22147853.0","68837.21","Earth"
"neo_0003","(54066) Hotel","2028-08-03","29.98","0.6613","0.1461","true","2955596.0","113816.18","Earth"
"neo_0004","(79440) Bravo","2024-09-28","28.46","0.2524","2.2006","false","48710387.0","43783.22","Earth"
"neo_0005","(29212) Stone","2025-06-04","22.62","0.8711","0.8698","false","31641351.0","81594.87","Earth"
"neo_0006","(89486) Hotel","2025-02-14","29.39","1.4555","1.056","false","54118350.0","23166.87","Earth"
"neo_0007","(3472) Market","2026-09-13","26.58","0.6968","0.3136","false","8860822.0","118329.32","Earth"
"neo_0008","(30277) Forest","2028-03-10","29.07","0.7419","2.0026","false","22041802.0","59921.55","Earth"
"neo_0009","(84650) Golf","2024-12-07","17.97","0.8171","0.7488","false","57221298.0","115829.97","Earth"
"neo_0010","(40103) Valley","2028-06-07","17.65","0.3464","2.8543","false","79265444.0","66985.61","Earth"
"neo_0011","(9614) Juliet","2030-08-18","18.74","1.263","1.4717","true","5435438.0","63601.42","Earth"
"neo_0012","(26243) India","2026-05-31","26.85","1.2411","1.4694","false","37891233.0","43159.1","Earth"
"neo_0013","(83185) Alpha","2025-07-18","17.48","0.9756","1.4143","false","67960322.0","117820.03","Earth"
"neo_0014","(79363) Stone","2028-01-01","21.51","0.0428","0.3652","false","49337459.0","59926.49","Earth"
"neo_0015","(81048) Tower","2027-07-26","27.96","0.1595","2.4632","false","44097066.0","32003.61","Earth"
"neo_0016","(12397) Forest","2027-06-10","22.54","0.4633","1.0959","false","1886652.0","71249.32","Earth"
"neo_0017","(30256) Tower","2029-07-13","17.97","1.4371","1.7432","false","40177497.0","81908.11","Earth"
"neo_0018","(76873) Bravo","2029-07-26","16.8","0.7176","1.9474","false","17513895.0","115348.79","Earth"
"neo_0019","(87452) Foxtrot","2028-07-14","29.04","1.0046","0.5254","true","33342236.0","107352.56","Earth"
