id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk-brief-1,pg-recon-brief,root,heading_1,TAVR Study Reconciliation Brief,1,2026-09-20T09:00:00Z,2026-09-20T09:00:00Z,False,False
blk-brief-2,pg-recon-brief,blk-000,paragraph,Draft placeholder for Friday afternoon research block,2,2026-09-20T09:00:00Z,2026-09-20T09:00:00Z,False,False
blk-enroll-1,pg-enroll-tracker,blk-001,heading_1,Weekly Enrollment Snapshot,1,2023-09-01T09:00:00Z,2026-09-18T09:00:00Z,False,False
blk-enroll-2,pg-enroll-tracker,blk-002,paragraph,Study wide count 340 as of last sync,2,2026-09-18T09:00:00Z,2026-09-18T09:00:00Z,False,False
blk-cme-1,pg-cme-tracker,blk-003,paragraph,CME hours to date 28,1,2026-08-20T09:00:00Z,2026-08-20T09:00:00Z,False,False
blk-ref-000,pg-open-items,root,bulleted_list_item,Reference block content 000,20,2024-06-24T09:00:00Z,2026-04-20T09:00:00Z,False,False
blk-ref-001,pg-recon-brief,blk-005,to_do,Reference block content 001,4,2024-07-13T09:00:00Z,2026-06-27T09:00:00Z,False,False
blk-ref-002,pg-enroll-tracker,blk-006,bulleted_list_item,Reference block content 002,5,2024-06-07T09:00:00Z,2026-03-22T09:00:00Z,False,True
blk-ref-003,pg-cme-tracker,blk-007,to_do,Reference block content 003,7,2024-07-28T09:00:00Z,2026-04-06T09:00:00Z,False,True
blk-ref-004,pg-cme-tracker,blk-008,bulleted_list_item,Reference block content 004,3,2024-05-19T09:00:00Z,2026-01-02T09:00:00Z,False,False
blk-ref-005,pg-cme-tracker,root,paragraph,Reference block content 005,10,2024-08-22T09:00:00Z,2026-09-07T09:00:00Z,False,False
blk-ref-006,pg-open-items,blk-010,paragraph,Reference block content 006,18,2024-02-03T09:00:00Z,2026-04-24T09:00:00Z,False,False
blk-ref-007,pg-open-items,blk-011,heading_2,Reference block content 007,4,2024-01-12T09:00:00Z,2026-04-19T09:00:00Z,False,True
blk-ref-008,pg-open-items,blk-012,heading_2,Reference block content 008,7,2024-01-07T09:00:00Z,2026-06-15T09:00:00Z,False,False
blk-ref-009,pg-workspace-front,blk-013,to_do,Reference block content 009,8,2024-03-06T09:00:00Z,2026-04-18T09:00:00Z,False,False
blk-ref-010,pg-enroll-tracker,root,bulleted_list_item,Reference block content 010,11,2024-02-05T09:00:00Z,2026-08-11T09:00:00Z,False,True
blk-ref-011,pg-recon-brief,blk-015,bulleted_list_item,Reference block content 011,1,2024-04-16T09:00:00Z,2026-07-07T09:00:00Z,False,False
blk-ref-012,pg-open-items,blk-016,paragraph,Reference block content 012,14,2024-06-27T09:00:00Z,2026-05-28T09:00:00Z,False,True
blk-ref-013,pg-recon-brief,blk-017,paragraph,Reference block content 013,18,2024-03-12T09:00:00Z,2026-05-20T09:00:00Z,False,False
blk-ref-014,pg-enroll-tracker,blk-018,to_do,Reference block content 014,16,2024-01-28T09:00:00Z,2026-03-21T09:00:00Z,False,True
blk-ref-015,pg-cme-tracker,root,bulleted_list_item,Reference block content 015,1,2024-01-10T09:00:00Z,2026-03-12T09:00:00Z,False,True
blk-ref-016,pg-cme-tracker,blk-020,bulleted_list_item,Reference block content 016,1,2024-07-07T09:00:00Z,2026-06-14T09:00:00Z,False,False
blk-ref-017,pg-open-items,blk-021,heading_2,Reference block content 017,14,2024-06-28T09:00:00Z,2026-03-07T09:00:00Z,False,True
blk-ref-018,pg-recon-brief,blk-022,to_do,Reference block content 018,13,2024-04-11T09:00:00Z,2026-03-04T09:00:00Z,False,True
blk-ref-019,pg-cme-tracker,blk-023,bulleted_list_item,Reference block content 019,1,2024-02-13T09:00:00Z,2026-01-13T09:00:00Z,False,True
blk-ref-020,pg-open-items,root,paragraph,Reference block content 020,15,2024-05-15T09:00:00Z,2026-05-16T09:00:00Z,False,False
blk-ref-021,pg-workspace-front,blk-025,bulleted_list_item,Reference block content 021,11,2024-03-06T09:00:00Z,2026-09-16T09:00:00Z,False,False
blk-ref-022,pg-enroll-tracker,blk-026,bulleted_list_item,Reference block content 022,15,2024-03-24T09:00:00Z,2026-08-05T09:00:00Z,False,True
blk-ref-023,pg-recon-brief,blk-027,paragraph,Reference block content 023,19,2024-03-10T09:00:00Z,2026-02-13T09:00:00Z,False,False
blk-ref-024,pg-cme-tracker,blk-028,bulleted_list_item,Reference block content 024,2,2024-01-12T09:00:00Z,2026-08-09T09:00:00Z,False,False
blk-ref-025,pg-recon-brief,root,heading_2,Reference block content 025,5,2024-07-22T09:00:00Z,2026-05-06T09:00:00Z,False,False
blk-ref-026,pg-open-items,blk-030,to_do,Reference block content 026,6,2024-03-26T09:00:00Z,2026-08-27T09:00:00Z,False,False
blk-ref-027,pg-open-items,blk-031,heading_2,Reference block content 027,9,2024-02-04T09:00:00Z,2026-05-11T09:00:00Z,False,True
blk-ref-028,pg-workspace-front,blk-032,to_do,Reference block content 028,1,2024-06-09T09:00:00Z,2026-02-22T09:00:00Z,False,False
blk-ref-029,pg-enroll-tracker,blk-033,bulleted_list_item,Reference block content 029,16,2024-03-23T09:00:00Z,2026-02-09T09:00:00Z,False,False
blk-ref-030,pg-cme-tracker,root,heading_2,Reference block content 030,14,2024-05-21T09:00:00Z,2026-05-20T09:00:00Z,False,True
blk-ref-031,pg-workspace-front,blk-035,heading_2,Reference block content 031,2,2024-03-07T09:00:00Z,2026-04-21T09:00:00Z,False,True
blk-ref-032,pg-workspace-front,blk-036,paragraph,Reference block content 032,12,2024-04-06T09:00:00Z,2026-09-14T09:00:00Z,False,False
blk-ref-033,pg-workspace-front,blk-037,heading_2,Reference block content 033,6,2024-05-12T09:00:00Z,2026-01-13T09:00:00Z,False,True
blk-ref-034,pg-cme-tracker,blk-038,to_do,Reference block content 034,18,2024-01-01T09:00:00Z,2026-05-22T09:00:00Z,False,False
blk-ref-035,pg-workspace-front,root,bulleted_list_item,Reference block content 035,12,2024-03-03T09:00:00Z,2026-04-23T09:00:00Z,False,True
blk-ref-036,pg-recon-brief,blk-040,to_do,Reference block content 036,18,2024-03-09T09:00:00Z,2026-01-26T09:00:00Z,False,True
blk-ref-037,pg-enroll-tracker,blk-041,paragraph,Reference block content 037,6,2024-08-13T09:00:00Z,2026-03-16T09:00:00Z,False,False
blk-ref-038,pg-open-items,blk-042,heading_2,Reference block content 038,11,2024-04-24T09:00:00Z,2026-08-08T09:00:00Z,False,False
blk-ref-039,pg-enroll-tracker,blk-043,paragraph,Reference block content 039,16,2024-07-25T09:00:00Z,2026-06-20T09:00:00Z,False,False
blk-ref-040,pg-open-items,root,to_do,Reference block content 040,5,2024-02-26T09:00:00Z,2026-01-22T09:00:00Z,False,False
blk-ref-041,pg-recon-brief,blk-045,heading_2,Reference block content 041,8,2024-06-23T09:00:00Z,2026-08-13T09:00:00Z,False,False
blk-ref-042,pg-recon-brief,blk-046,paragraph,Reference block content 042,2,2024-06-21T09:00:00Z,2026-02-19T09:00:00Z,False,False
blk-ref-043,pg-cme-tracker,blk-047,bulleted_list_item,Reference block content 043,3,2024-01-21T09:00:00Z,2026-01-10T09:00:00Z,False,False
blk-ref-044,pg-cme-tracker,blk-048,heading_2,Reference block content 044,17,2024-05-08T09:00:00Z,2026-07-23T09:00:00Z,False,True
blk-ref-045,pg-cme-tracker,root,bulleted_list_item,Reference block content 045,11,2024-02-25T09:00:00Z,2026-06-23T09:00:00Z,False,False
blk-ref-046,pg-cme-tracker,blk-050,paragraph,Reference block content 046,20,2024-03-23T09:00:00Z,2026-07-11T09:00:00Z,False,True
blk-ref-047,pg-recon-brief,blk-051,paragraph,Reference block content 047,9,2024-08-10T09:00:00Z,2026-07-05T09:00:00Z,False,True
blk-ref-048,pg-enroll-tracker,blk-052,to_do,Reference block content 048,13,2024-01-04T09:00:00Z,2026-04-14T09:00:00Z,False,False
blk-ref-049,pg-cme-tracker,blk-053,to_do,Reference block content 049,8,2024-01-17T09:00:00Z,2026-03-04T09:00:00Z,False,True
blk-ref-050,pg-recon-brief,root,to_do,Reference block content 050,9,2024-02-20T09:00:00Z,2026-02-13T09:00:00Z,False,False
blk-ref-051,pg-open-items,blk-055,to_do,Reference block content 051,7,2024-07-06T09:00:00Z,2026-02-28T09:00:00Z,False,False
blk-ref-052,pg-workspace-front,blk-056,bulleted_list_item,Reference block content 052,8,2024-05-22T09:00:00Z,2026-04-03T09:00:00Z,False,True
blk-ref-053,pg-recon-brief,blk-057,to_do,Reference block content 053,20,2024-03-25T09:00:00Z,2026-05-16T09:00:00Z,False,True
blk-ref-054,pg-enroll-tracker,blk-058,paragraph,Reference block content 054,7,2024-09-17T09:00:00Z,2026-04-10T09:00:00Z,False,False
blk-ref-055,pg-workspace-front,root,heading_2,Reference block content 055,3,2024-04-17T09:00:00Z,2026-05-24T09:00:00Z,False,True
blk-ref-056,pg-enroll-tracker,blk-060,to_do,Reference block content 056,8,2024-07-28T09:00:00Z,2026-05-12T09:00:00Z,False,False
blk-ref-057,pg-enroll-tracker,blk-061,paragraph,Reference block content 057,17,2024-04-25T09:00:00Z,2026-05-07T09:00:00Z,False,True
blk-ref-058,pg-cme-tracker,blk-062,to_do,Reference block content 058,18,2024-09-24T09:00:00Z,2026-05-14T09:00:00Z,False,False
blk-ref-059,pg-cme-tracker,blk-063,to_do,Reference block content 059,7,2024-02-15T09:00:00Z,2026-02-10T09:00:00Z,False,False
blk-ref-060,pg-enroll-tracker,root,heading_2,Reference block content 060,12,2024-06-25T09:00:00Z,2026-04-16T09:00:00Z,False,False
blk-ref-061,pg-open-items,blk-065,paragraph,Reference block content 061,7,2024-04-10T09:00:00Z,2026-04-14T09:00:00Z,False,True
blk-ref-062,pg-cme-tracker,blk-066,heading_2,Reference block content 062,7,2024-08-26T09:00:00Z,2026-08-25T09:00:00Z,False,True
blk-ref-063,pg-open-items,blk-067,to_do,Reference block content 063,7,2024-04-22T09:00:00Z,2026-09-02T09:00:00Z,False,True
blk-ref-064,pg-enroll-tracker,blk-068,bulleted_list_item,Reference block content 064,1,2024-03-24T09:00:00Z,2026-09-07T09:00:00Z,False,True
blk-ref-065,pg-cme-tracker,root,paragraph,Reference block content 065,17,2024-09-15T09:00:00Z,2026-02-20T09:00:00Z,False,True
blk-ref-066,pg-cme-tracker,blk-070,heading_2,Reference block content 066,1,2024-09-08T09:00:00Z,2026-05-09T09:00:00Z,False,False
blk-ref-067,pg-cme-tracker,blk-071,to_do,Reference block content 067,16,2024-01-13T09:00:00Z,2026-01-25T09:00:00Z,False,True
blk-ref-068,pg-cme-tracker,blk-072,heading_2,Reference block content 068,16,2024-04-20T09:00:00Z,2026-06-22T09:00:00Z,False,True
blk-ref-069,pg-open-items,blk-073,bulleted_list_item,Reference block content 069,19,2024-03-25T09:00:00Z,2026-02-19T09:00:00Z,False,False
blk-ref-070,pg-open-items,root,to_do,Reference block content 070,4,2024-08-06T09:00:00Z,2026-03-09T09:00:00Z,False,True
blk-ref-071,pg-open-items,blk-075,paragraph,Reference block content 071,17,2024-02-03T09:00:00Z,2026-09-06T09:00:00Z,False,False
blk-ref-072,pg-workspace-front,blk-076,paragraph,Reference block content 072,16,2024-07-08T09:00:00Z,2026-09-09T09:00:00Z,False,True
blk-ref-073,pg-recon-brief,blk-077,to_do,Reference block content 073,20,2024-07-03T09:00:00Z,2026-08-21T09:00:00Z,False,False
blk-ref-074,pg-cme-tracker,blk-078,bulleted_list_item,Reference block content 074,10,2024-01-17T09:00:00Z,2026-05-06T09:00:00Z,False,False
blk-ref-075,pg-enroll-tracker,root,to_do,Reference block content 075,6,2024-05-07T09:00:00Z,2026-04-22T09:00:00Z,False,False
blk-ref-076,pg-enroll-tracker,blk-080,to_do,Reference block content 076,16,2024-08-05T09:00:00Z,2026-07-08T09:00:00Z,False,False
blk-ref-077,pg-recon-brief,blk-081,to_do,Reference block content 077,9,2024-08-26T09:00:00Z,2026-05-06T09:00:00Z,False,True
blk-ref-078,pg-open-items,blk-082,heading_2,Reference block content 078,17,2024-06-03T09:00:00Z,2026-04-05T09:00:00Z,False,True
blk-ref-079,pg-cme-tracker,blk-083,heading_2,Reference block content 079,13,2024-03-25T09:00:00Z,2026-06-19T09:00:00Z,False,True
blk-ref-080,pg-recon-brief,root,bulleted_list_item,Reference block content 080,15,2024-09-20T09:00:00Z,2026-07-06T09:00:00Z,False,True
blk-ref-081,pg-recon-brief,blk-085,bulleted_list_item,Reference block content 081,20,2024-02-23T09:00:00Z,2026-07-02T09:00:00Z,False,True
blk-ref-082,pg-open-items,blk-086,paragraph,Reference block content 082,12,2024-09-07T09:00:00Z,2026-08-09T09:00:00Z,False,True
blk-ref-083,pg-recon-brief,blk-087,bulleted_list_item,Reference block content 083,17,2024-01-24T09:00:00Z,2026-08-11T09:00:00Z,False,True
blk-ref-084,pg-enroll-tracker,blk-088,paragraph,Reference block content 084,5,2024-01-12T09:00:00Z,2026-04-23T09:00:00Z,False,False
blk-ref-085,pg-workspace-front,root,heading_2,Reference block content 085,1,2024-05-24T09:00:00Z,2026-06-13T09:00:00Z,False,False
blk-ref-086,pg-open-items,blk-090,heading_2,Reference block content 086,9,2024-09-17T09:00:00Z,2026-01-22T09:00:00Z,False,True
blk-ref-087,pg-enroll-tracker,blk-091,paragraph,Reference block content 087,9,2024-02-06T09:00:00Z,2026-01-13T09:00:00Z,False,False
blk-ref-088,pg-workspace-front,blk-092,bulleted_list_item,Reference block content 088,18,2024-03-18T09:00:00Z,2026-04-06T09:00:00Z,False,False
blk-ref-089,pg-open-items,blk-093,heading_2,Reference block content 089,7,2024-04-21T09:00:00Z,2026-08-03T09:00:00Z,False,True
blk-ref-090,pg-cme-tracker,root,paragraph,Reference block content 090,12,2024-01-20T09:00:00Z,2026-05-15T09:00:00Z,False,False
blk-ref-091,pg-open-items,blk-095,heading_2,Reference block content 091,4,2024-03-09T09:00:00Z,2026-06-19T09:00:00Z,False,False
blk-ref-092,pg-open-items,blk-096,paragraph,Reference block content 092,7,2024-06-01T09:00:00Z,2026-06-25T09:00:00Z,False,True
