id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
block-page-studio-root-01,page-studio-root,,paragraph,Notation line 1 for Farmer Studio Notebook,1,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-studio-root-02,page-studio-root,,paragraph,Notation line 2 for Farmer Studio Notebook,2,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-studio-root-03,page-studio-root,,paragraph,Notation line 3 for Farmer Studio Notebook,3,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-studio-root-04,page-studio-root,,paragraph,Notation line 4 for Farmer Studio Notebook,4,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-studio-root-05,page-studio-root,,paragraph,Notation line 5 for Farmer Studio Notebook,5,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-studio-root-06,page-studio-root,,paragraph,Notation line 6 for Farmer Studio Notebook,6,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-studio-root-07,page-studio-root,,paragraph,Notation line 7 for Farmer Studio Notebook,7,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-01,page-kiln-log-current,,paragraph,Notation line 1 for Firing 2026-09-28 reduction cone ten,1,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-02,page-kiln-log-current,,paragraph,Notation line 2 for Firing 2026-09-28 reduction cone ten,2,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-03,page-kiln-log-current,,paragraph,Notation line 3 for Firing 2026-09-28 reduction cone ten,3,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-04,page-kiln-log-current,,paragraph,Notation line 4 for Firing 2026-09-28 reduction cone ten,4,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-05,page-kiln-log-current,,paragraph,Notation line 5 for Firing 2026-09-28 reduction cone ten,5,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-06,page-kiln-log-current,,paragraph,Notation line 6 for Firing 2026-09-28 reduction cone ten,6,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-kiln-log-current-07,page-kiln-log-current,,paragraph,Notation line 7 for Firing 2026-09-28 reduction cone ten,7,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,False,False
block-page-wood-ash-current-01,page-wood-ash-current,,paragraph,Notation line 1 for Wood-ash mountain cedar batch 07 current authoritative,1,2026-09-25T14:20:00.000Z,2026-09-30T09:00:00.000Z,False,False
block-page-wood-ash-current-02,page-wood-ash-current,,paragraph,Notation line 2 for Wood-ash mountain cedar batch 07 current authoritative,2,2026-09-25T14:20:00.000Z,2026-09-30T09:00:00.000Z,False,False
block-page-wood-ash-current-03,page-wood-ash-current,,paragraph,Notation line 3 for Wood-ash mountain cedar batch 07 current authoritative,3,2026-09-25T14:20:00.000Z,2026-09-30T09:00:00.000Z,False,False
block-page-wood-ash-current-04,page-wood-ash-current,,paragraph,Notation line 4 for Wood-ash mountain cedar batch 07 current authoritative,4,2026-09-25T14:20:00.000Z,2026-09-30T09:00:00.000Z,False,False
