id,name,permissionLevel
appNW1studio0001,Intertidal Surveys (Coastal Ecology Lab),create
appNW1studio0003,Intertidal Surveys (Coastal Ecology Lab) - Cohort 2,create
appNW1studio0004,Intertidal Surveys (Coastal Ecology Lab) - Cohort 3,create
appNW1studio0005,Intertidal Surveys (Coastal Ecology Lab) - Cohort 4,create
appNW1studio0006,Intertidal Surveys (Coastal Ecology Lab) - Cohort 5,create
appNW1studio0007,Intertidal Surveys (Coastal Ecology Lab) - Cohort 6,create
appNW1studio0008,Intertidal Surveys (Coastal Ecology Lab) - Cohort 7,create
appNW1studio0009,Intertidal Surveys (Coastal Ecology Lab) - Cohort 8,create
appNW1studio0010,Intertidal Surveys (Coastal Ecology Lab) - Cohort 9,create
appNW1studio0011,Intertidal Surveys (Coastal Ecology Lab) - Cohort 10,create
appNW1studio0012,Intertidal Surveys (Coastal Ecology Lab) - Cohort 11,create
appNW1studio0013,Intertidal Surveys (Coastal Ecology Lab) - Cohort 12,create
appNW1studio0014,Intertidal Surveys (Coastal Ecology Lab) - Cohort 13,create
appNW1studio0015,Intertidal Surveys (Coastal Ecology Lab) - Cohort 14,create
appNW1studio0016,Intertidal Surveys (Coastal Ecology Lab) - Cohort 15,create
appNW1studio0017,Intertidal Surveys (Coastal Ecology Lab) - Cohort 16,create
appNW1studio0018,Intertidal Surveys (Coastal Ecology Lab) - Cohort 17,create
appNW1studio0019,Intertidal Surveys (Coastal Ecology Lab) - Cohort 18,create
appNW1studio0020,Intertidal Surveys (Coastal Ecology Lab) - Cohort 19,create
appNW1studio0021,Intertidal Surveys (Coastal Ecology Lab) - Cohort 20,create
appNW1studio0022,Intertidal Surveys (Coastal Ecology Lab) - Cohort 21,create
appNW1studio0023,Intertidal Surveys (Coastal Ecology Lab) - Cohort 22,create
